scorer,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh
bodyparts,eye,eye,eye,sacrum,sacrum,sacrum,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,foot,foot,foot
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,13.179194690089481,2.8889658311978645,17.853703524235815,,,,13.207699811657662,5.093945344373683,19.386031347267213,14.847634703120683,3.8226417760835636,15.659164691683374
1,,,,,,,11.57574613600703,2.578680966474914,15.680709513791095,,,,13.202868421085757,5.0888986782402155,19.376079822315173,14.84457263903599,3.8228729816997893,15.657464169881665
2,,,,,,,11.576487567931759,2.5809802785769786,15.681269001590389,,,,12.525585418204042,4.88955361245613,18.368932995989883,14.847140228482349,3.8227805310046112,15.657357100521008
3,,,,,,,11.578095801459355,2.5781897629077517,15.679504804503683,,,,13.209761172821885,5.088709730369621,19.368743902925363,14.847178291793467,3.8219197044411515,15.656425526074676
4,,,,,,,11.577725593023196,2.5772641631187576,15.676663306562194,,,,12.45565835161749,4.899696088031039,18.259057461620422,13.374587879511697,3.4800649572579663,14.098811560917863
5,,,,,,,11.579623194876824,2.5816840388507516,15.67493524216559,,,,13.218332486119001,5.093249494906198,19.375578128154455,14.848396570594192,3.820120613215018,15.658566943283956
6,,,,,,,11.579541612306848,2.58320054855827,15.67236110015753,,,,13.218742602165403,5.094065148139952,19.378040946481605,14.849150084722996,3.8230296815204725,15.657793776696485
7,,,,,,,11.5843155284625,2.5808188791897884,15.67716672531265,,,,13.216381319450145,5.092752207775936,19.372488593451827,14.849750304740288,3.825755707513838,15.653478821048573
8,,,,,,,11.579467443815904,2.579090338497637,15.666387221008813,,,,13.21899500393308,5.094677526425165,19.380860107920064,14.848832587406388,3.8246888135420662,15.652405181941667
9,,,,,,,11.583304086739222,2.5789310298560078,15.670017144564905,,,,13.28631077008461,5.131436889304274,19.480448797772652,14.84978190015252,3.8288644851968705,15.650656600764725
10,,,,,,,11.58088743702975,2.576842502676845,15.671356495739795,,,,13.28902724534235,5.130281434658935,19.484506371525615,14.849259528288682,3.829058372388251,15.64986935070665
11,,,,,,,11.584163943386422,2.5784452144605026,15.6781733931478,,,,13.21870639042062,5.097105990547903,19.382207785536398,14.831507151110552,3.8640676225276738,15.678757561648972
12,,,,,,,11.58748980315991,2.5813530671646086,15.680183393420855,,,,12.454599889494329,4.902482797518016,18.262386069527484,14.849609403499466,3.823109620468092,15.650292336429388
13,,,,,,,11.586404864121002,2.5783424227273644,15.681124845936626,,,,12.453915545874432,4.903107415416808,18.262622365037135,14.847797985987135,3.8236546644247014,15.64917549578485
14,,,,,,,11.587756457044138,2.5763940786782893,15.68030494706094,,,,12.452117401089465,4.903924635801877,18.261536299492953,14.85001884476045,3.824154355784599,15.648543540133547
15,,,,,,,11.578442949562096,2.549091104709955,15.665917670715894,,,,13.211395207913796,5.090256969166917,19.37674080847249,13.372790734391984,3.5573971302876046,14.127921993302214
16,,,,,,,11.58284967379559,2.579391934028922,15.675653010251025,,,,13.27832874492694,5.1193990501377895,19.477488872470666,14.849801052590049,3.825880373641877,15.652320559062213
