scorer,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh
bodyparts,eye,eye,eye,sacrum,sacrum,sacrum,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,foot,foot,foot
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,8.722388432594533,5.435780440894334,16.869706585199985
1,,,,,,,,,,,,,,,,8.714566953199954,5.435523975460899,16.856617007513794
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,8.70979095829755,5.435839491553585,16.85981414634378
6,,,,,,,,,,,,,,,,8.71328053538448,5.435406495785051,16.8630840772544
7,,,,,,,,,,,,,,,,8.713482175966366,5.43367485656771,16.86594505554925
8,,,,,,,,,,,,,,,,8.715068294798511,5.433035605650479,16.860624296848307
9,,,,,,,,,,,,,,,,8.714888347718192,5.43129576075939,16.863461804549637
10,,,,,,,,,,,,,,,,8.71280624089479,5.4358511858326635,16.86750559636485
11,,,,,,,,,,,,,,,,8.710355983654635,5.433359674883224,16.848943955878475
12,,,,,,,,,,,,,9.697390970504678,5.789679257324106,18.084225778654584,8.711038468176591,5.44433791873742,16.864931849766386
13,,,,,,,,,,,,,9.70013885533265,5.788200073172441,18.0857106264333,8.709319110481454,5.443371970641828,16.85821574120228
14,,,,,,,,,,,,,9.697280725741987,5.7902062043552425,18.086732945208865,8.708648665831712,5.442366113859515,16.856199051163568
15,,,,,,,,,,,,,9.697547745922568,5.790269741361115,18.084507685171193,8.713777851235449,5.4443760547326825,16.861222141563303
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,9.70014167593098,5.795485545925206,18.08617168199051,8.713849070470717,5.449581710989444,16.870042871062044
18,,,,,,,,,,,,,9.701619244726496,5.794964537003017,18.086172766537963,,,
19,,,,,,,,,,,,,10.264920093766296,6.047791732070352,19.13475500630716,8.718795380628796,5.448357448857389,16.87256349357745
20,,,,,,,,,,,,,10.266072595004236,6.047467107812189,19.13675585411324,8.721274331440387,5.445314356900954,16.869742962286914
21,,,,,,,,,,,,,10.264341894404778,6.048928533554915,19.141619092176715,8.720772451421555,5.442063730790456,16.86459164885437
22,,,,,,,,,,,,,10.261622482930377,6.0509367834391625,19.146214899297767,8.72354973906952,5.4375343515235555,16.869147916350457
23,,,,,,,,,,,,,10.269270317334314,6.050210688385458,19.147682138694268,8.717292075584389,5.434623116437318,16.862939990832665
24,,,,,,,,,,,,,10.269791372511142,6.041860425951414,19.131334113723568,8.718092223058976,5.439628959366199,16.86055960261637
25,,,,,,,,,,,,,10.267577150601683,6.0445457085094025,19.1337095634224,8.720265340848782,5.4407842385022045,16.864042711946883
26,,,,,,,,,,,,,10.265879206444065,6.045077954752504,19.135100432528123,8.71577837911071,5.440360905673647,16.861682645566972
27,,,,,,,,,,,,,,,,8.716625756840314,5.439972575752928,16.856114774692944
28,,,,,,,,,,,,,10.266793331506262,6.050885299374663,19.135245798087304,,,
29,,,,,,,,,,,,,9.703132656824238,5.799379715831528,18.081009519782178,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,9.700338157804842,5.80006780540642,18.08193261445622,,,
