scorer,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh
bodyparts,eye,eye,eye,sacrum,sacrum,sacrum,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,foot,foot,foot
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,14.552794639420402,3.236522160819574,14.125451900209859
3,,,,,,,,,,,,,,,,14.554188063688725,3.234943635141837,14.125456942392002
4,,,,,,,,,,,,,,,,14.552118631397482,3.233264773818703,14.126391324158218
5,,,,,,,,,,,,,,,,14.557247460371043,3.234485303734866,14.129088962267456
6,,,,,,,,,,,,,,,,14.555916206763193,3.2373298125709824,14.126631570446264
7,,,,,,,,,,,,,,,,14.555472517176458,3.2360550275249147,14.125099402749349
8,,,,,,,,,,,,,,,,14.55433668414952,3.2349491329062934,14.127742092106427
9,,,,,,,,,,,,,,,,14.555331051931784,3.2338796696204333,14.125579150659652
10,,,,,,,,,,,,,,,,14.558861949821752,3.2329120564741114,14.125527506714299
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,17.611643924277395,3.307366116779237,17.09562887139602
13,,,,,,,,,,,,,,,,17.612739010342768,3.3083237393008296,17.096488820278598
14,,,,,,,,,,,,,,,,17.613000639789213,3.3091754628416004,17.09653641385456
15,,,,,,,,,,,,,,,,17.613636629813723,3.31014534013185,17.095731879423543
16,,,,,,,,,,,,,,,,17.61284359909338,3.3099768222844785,17.097835813507498
17,,,,,,,,,,,,,,,,17.61314119749843,3.310936370074952,17.09574097339102
18,,,,,,,,,,,,,,,,17.61684487346452,3.310038502882026,17.098077051424575
19,,,,,,,,,,,,,,,,17.614745358301363,3.316402602216497,17.09640251214997
20,,,,,,,,,,,,,,,,17.614455057388994,3.3135276035399377,17.090614497065364
21,,,,,,,,,,,,,,,,17.613673796013323,3.3154829626229905,17.09344613005174
22,,,,,,,,,,,,,,,,14.55927523078137,3.2398097606882086,14.11203905686654
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,14.56086627561938,3.2427492447062027,14.104905349978525
26,,,,,,,,,,,,,,,,17.637899090948405,3.3739692662489165,17.100662587913554
27,,,,,,,,,,,,,,,,17.632899458735388,3.376674458953181,17.088035770472526
28,,,,,,,,,,,,,,,,14.522677379602793,3.22157611988228,14.052250435311096
29,,,,,,,,,,,,,,,,14.51772332314124,3.2239703807080553,14.04186629198617
30,,,,,,,,,,,,,,,,14.520881516264147,3.228568554220943,14.032467189888594
31,,,,,,,,,,,,,,,,14.513902187061907,3.2565962462656284,14.03744412500543
32,,,,,,,,,,,,,,,,14.515846264453751,3.2601591063586053,14.042645170081663
33,,,,,,,,,,,,,,,,14.516000559218433,3.260350455422933,14.041727043172246
34,,,,,,,,,,,,,,,,14.519614735818458,3.261561778317868,14.03440564106586
35,,,,,,,,,,,,,,,,14.519361272173137,3.266456007073109,14.029164089585006
36,,,,,,,,,,,,,,,,14.517566827981902,3.2700076924157,14.027048477275676
37,,,,,,,,,,,,,,,,14.521427694534804,3.2663206895298162,14.026454070075761
