scorer,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh
bodyparts,eye,eye,eye,sacrum,sacrum,sacrum,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,foot,foot,foot
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,15.290863530347742,4.397397145296897,16.63161845539736
3,,,,,,,,,,,,,,,,15.287192608525157,4.394955671079347,16.62732268557865
4,,,,,,,,,,,,,,,,15.289374306759942,4.3959023850620245,16.626969342620416
5,,,,,,,,,,,,,,,,15.289988806660636,4.395809786249554,16.630233346201436
6,,,,,,,,,,,,,,,,15.293848199404824,4.396806761090389,16.627357406398374
7,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,16.284082621466133,4.888767709121267,18.83188498475301,,,
21,,,,,,,,,,,,,16.545975803908792,4.493783031571578,19.11789310650828,,,
22,,,,,,,,,,,,,16.214797891002817,4.899656010709424,18.706513754802117,14.962331469511225,4.672176889732566,17.31896200326856
23,,,,,,,,,,,,,16.211844891770838,4.912790389116031,18.7090079560546,14.924259539274235,4.657434898342772,17.26204193819204
24,,,,,,,,,,,,,17.516921500920112,3.3499127906804493,14.853178782696762,,,
25,,,,,,,,,,,,,17.509395293124296,3.3700781810937785,14.807905174311413,,,
26,,,,,,,,,,,,,17.524351250258587,3.378069156512187,14.681928239806924,16.284703177458702,3.467737744063094,14.115233073826976
27,,,,,,,,,,,,,17.46260073336821,3.4425234438651198,14.596353196531961,14.935078849961998,4.738415456163583,17.081387552333783
28,,,,,,,,,,,,,17.422022036589667,3.4430779638886118,14.437402254121588,16.20971874833216,3.4480813017885255,13.842056497062307
29,,,,,,,,,,,,,17.361772931851583,3.519060720810968,14.467896580557307,15.203494708232611,4.453791894989187,15.95520049795755
30,,,,,,,,,,,,,15.965829453446993,4.865294152901786,17.89809297848007,14.843655576643132,4.682546266184867,16.688064329626215
31,,,,,,,,,,,,,15.838243709594233,4.801204274673463,17.679120917941702,14.706001479771874,4.607181677965663,16.405142062105085
32,,,,,,,,,,,,,,,,14.612406289516125,4.531089037955942,16.217667173406074
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,17.9411704456138,1.6932655080282561,17.207600840874694,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
