scorer,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh
bodyparts,eye,eye,eye,sacrum,sacrum,sacrum,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,foot,foot,foot
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,9.80157675979183,5.100401881432636,17.838026810733908
16,,,,,,,,,,,,,,,,9.802466287898556,5.099109916493164,17.838452579967733
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,9.826302543743768,5.124614809505483,17.886524180030452
26,,,,,,,,,,,,,,,,9.826689618048144,5.123757539560271,17.89664034450692
27,,,,,,,,,,,,,,,,9.822764929844674,5.123222320556254,17.89489628900701
28,,,,,,,,,,,,,,,,9.824726393003518,5.119332669058383,17.8957163268216
29,,,,,,,,,,,,,,,,9.82034199740583,5.121602006172745,17.892836097422844
30,,,,,,,,,,,,,,,,9.829209103350504,5.11850984545695,17.89524282942429
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,9.83417436924908,5.108989369392694,17.887667701477618
34,,,,,,,,,,,,,,,,9.831013430226426,5.11204585524096,17.887834746054438
35,,,,,,,,,,,,,,,,9.83093058083681,5.106865371668887,17.88356180979369
36,,,,,,,,,,,,,,,,9.833745582207458,5.119459175386527,17.89666124742669
37,,,,,,,,,,,,,,,,9.834383891948493,5.113476245385537,17.896402185451468
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,9.832384775228004,5.107756246972741,17.892341192340663
40,,,,,,,,,,,,,,,,9.83344730387486,5.109007074065881,17.89633337596575
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,9.833369143863454,5.108269544544663,17.895626468551693
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,9.829975155573463,5.113882521852177,17.892702717967246
47,,,,,,,,,,,,,,,,9.837070419662359,5.1070710110652255,17.898193488516064
48,,,,,,,,,,,,,,,,9.832327836494454,5.12232000062643,17.900128234665388
49,,,,,,,,,,,,,,,,9.834803119808042,5.12140088336141,17.89800202024975
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
